otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
BOtu0208,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea
BOtu0211,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangiaceae_unclassified,Intrasporangiaceae_unclassified
BOtu0214,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes
BOtu0219,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter
BOtu0222,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydiaceae_unclassified,Parachlamydiaceae_unclassified
BOtu0224,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola,Marisediminicola
BOtu0231,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
BOtu0232,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured
FOtu0002,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0003,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0005,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiales_unclassified,Leucosporidiales_unclassified,Leucosporidiales_unclassified
FOtu0006,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0007,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella
FOtu0008,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,unclassified_Leucosporidiales,unclassified_Leucosporidiales,unclassified_Leucosporidiales
FOtu0009,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified
FOtu0010,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0011,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0012,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0015,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
FOtu0016,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0017,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Hormonema,Hormonema
FOtu0018,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0020,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0023,Fungi,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Rhizocarpon
FOtu0024,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0030,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
FOtu0032,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
FOtu0033,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma
FOtu0037,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unclassified_Capnodiales,unclassified_Capnodiales,unclassified_Capnodiales
FOtu0038,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Sarcinomyces,Sarcinomyces
FOtu0039,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0040,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
FOtu0045,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Perusta,Perusta
FOtu0048,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
FOtu0049,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella
FOtu0050,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0052,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Celosporium,Celosporium
FOtu0053,Fungi,Chytridiomycota_unclassified,Chytridiomycota_unclassified,Chytridiomycota_unclassified,Chytridiomycota_unclassified,Chytridiomycota_unclassified,Chytridiomycota_unclassified
FOtu0054,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium,Rachicladosporium
FOtu0056,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiaceae_unclassified,Sporormiaceae_unclassified
FOtu0057,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces
FOtu0058,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0059,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
FOtu0060,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0061,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,Dothidea
FOtu0062,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium
FOtu0065,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,Sporormiella
FOtu0066,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
