"hf","Proteobacteria_unclassified"
"hg","Acidobacteriaceae_"
"hh","Armatimonadales_fa"
"hi","Flavobacteriaceae"
"hj","Pseudonocardiaceae"
"hk","Chytridiomycota_unclassified"
"hl","unclassified_Microbotryomycetes"
"hm","Leucosporidiaceae_unclassified"
"hn","Leucosporidiales_unclassified"
"ho","Microbotryomycetes_unclassified"
"hp","Mycosphaerella"
"hq","unclassified_Leucosporidiales"
"hr","Agaricomycetes_unclassified"
"hs","Trigonopsis"
"ht","Hyaloraphidium"
"hu","Hormonema"
"hv","Leucosporidium"
"hw","Rhizocarpon"
"hx","Aureobasidium"
"hy","Endoconidioma"
"hz","unclassified_Capnodiales"
"ia","Sarcinomyces"
"ib","Nakaseomyces"
"ic","Perusta"
"id","Scleropezicula"
"ie","Rhodotorula"
"if","Didymella"
"ig","Celosporium"
"ih","Rachicladosporium"
"ii","Sporormiaceae_unclassified"
"ij","Phaeococcomyces"
"ik","Dothidea"
"il","Sporormiella"
"im","Phaeomycocentrospora"
"in","Alternaria"
"io","Ascomycota_unclassified"
"ip","Lecanorales_unclassified"
"iq","Helotiales_unclassified"
"ir","Chaetothyriales_unclassified"
"is","Placynthiella"
"it","Capnodiales_unclassified"
"iu","unclassified_Herpotrichiellaceae"
"iv","unclassified_Sporormiaceae"
"iw","Parmeliaceae_unclassified"
"ix","Ustilago"
"iy","Lecanoromycetes_unclassified"
"iz","Arthrocatena"
"ja","unclassified_Dothioraceae"
"jb","Hyaloscyphaceae_unclassified"
"jc","Helotiaceae_unclassified"
"jd","Lophodermium"
"je","Dothideomycetes_unclassified"
"jf","Lapidomyces"
"jg","Lophiostoma"
"jh","Juncaceicola"
"ji","Sistotrema"
"jj","Pleosporales_unclassified"
"jk","Leptosphaeriaceae_unclassified"
"jl","Neurospora"
"jm","unclassified_Chaetothyriales"
"jn","Microbotryomycetes_ord_Incertae_sedis_uc"
"jo","Fontanospora"
"jp","Phaeosphaeriaceae_unclassified"
"jq","Chaetosphaeronema"
"jr","Neocamarosporium"
"js","Bryoria"
"jt","Melanohalea"
"ju","Cladophialophora"
"jv","Lophium"
"jw","unclassified_Pleosporales"
"jx","unclassified_Sympoventuriaceae"
"jy","unclassified_Pleosporaceae"
"jz","Bullera"
"ka","Didymosphaeriaceae_unclassified"
"kb","Tilletia"
"kc","Knufia"
"kd","unclassified_Dothideales"
"ke","Phaeotheca"
"kf","Rhizoplaca"
"kg","Herpotrichia"
"kh","Sanguina"
"ki","Raphidonema"
"kj","Chlamydomonas"
"kk","Chlainomonas"
"kl","Chlorococcum"
"km","Neochloris"
"kn","Trebouxia"
"ko","Chloromonas"
"kp","Pseudochlorella"
"kq","Scotiella"
"kr","Haematococcus"
"ks","Balticola"
"kt","Astrephomene"
"ku","Solitalea"
"kv","Hymenobacter"
"kw","Ferruginibacter"
"kx","Polaromonas"
"ky","Rhizobacter"
"kz","uncultured"
"la","Parafrigoribacterium"
"lb","Massilia"
"lc","Rhodanobacter"
"ld","uncultured_ge"
"le","uncultured"
"lf","Marisediminicola"
"lg","Caldalkalibacillus"
"lh","Nesterenkonia"
"li","Burkholderiaceae_unclassified"
"lj","uncultured"
"lk","Burkholderiaceae_ge"
"ll","Rhodoferax"
"lm","Nakamurella"
"ln","Novosphingobium"
"lo","Herminiimonas"
"lp","Arcicella"
"lq","Halomonas"
"lr","Piscinibacter"
"ls","Pseudomonas"
"lt","Glaciimonas"
"lu","Actimicrobium"
"lv","Bacillaceae_unclassified"
"lw","Endobacter"
"lx","Prevotella_9"
"ly","Methylotenera"
"lz","Acidiphilium"
"ma","Sphingomonas"
"mb","Faecalibacterium"
"mc","Acetobacteraceae_unclassified"
"md","Rhizorhapis"
"me","Rickettsia"
"mf","Microbacteriaceae_unclassified"
"mg","Tardiphaga"
"mh","Proteobacteria_unclassified"
"mi","Granulicella"
"mj","Armatimonadales_ge"
"mk","Flavobacterium"
"ml","Pseudonocardia"
"mm","Xylophilus"
"mn","Mucilaginibacter"
"mo","Pedobacter"
"mp","Sanguina_nivaloides"
"mq","Raphidonema_nivale"
"mr","Sanguina_aurantia"
"ms","Chlamydomonas_reinhardtii"
"mt","Chlainomonas_sp"
"mu","Chlorococcum_vacuolatum"
"mv","Chlamydomonas_callunae"
"mw","Neochloris_sp"
"mx","Trebouxia_sp"
"my","Chloromonas_nivalis_subsp_tatrae"
"mz","Chloromonas_pichinchae"
"na","Pseudochlorella_pyrenoidosa"
"nb","Scotiella_cryophila"
"nc","Haematococcus_rubicundus"
"nd","Balticola_sp"
"ne","Chloromonas_sp"
"nf","Astrephomene_gubernaculifera"
