"","taxon_id","treatment_1","treatment_2","log2_median_ratio","median_diff","mean_diff","wilcox_p_value"
"1","ab","A","B",-0.134034762262802,-0.0253356112957903,0.00715093509688841,0.685714285714286
"2","ac","A","B",0.11209619975568,0.0237872964548937,-0.00613267426887726,0.685714285714286
"3","ad","A","B",0.0323895949852953,0.00941901284691732,-0.00101826082801121,0.885714285714286
"4","ae","A","B",0.332525212785166,9.24014041807676e-06,-0.000121734864253944,0.882420114075504
"5","af","A","B",0.100391600602543,0.0132058943205121,0.00677158817006696,0.885714285714286
"6","ag","A","B",0.179573313819068,0.0107478496252817,0.000629873330264236,1
"7","ah","A","B",-0.314595363488266,-0.000173841009626802,-0.000128791539188871,0.485714285714286
"8","ai","A","B",0.11209619975568,0.0237872964548937,-0.00613267426887726,0.685714285714286
"9","aj","A","B",0.0182500913633088,0.00339927870387902,-0.00993744715062389,0.685714285714286
"10","ak","A","B",0.0415980159201475,0.00310277267115203,0.0069125684642109,0.885714285714286
"11","al","A","B",-0.103652421365044,-0.00331743581047985,-0.000189906853798855,0.885714285714286
"12","am","A","B",0.688496603122696,0.00155480511493682,0.00245111460696003,0.685714285714286
"13","an","A","B",-0.520935766436998,-2.63054876830345e-05,-0.000183344609990293,1
"14","ao","A","B",0.985010771800947,8.06710031828977e-05,-7.12452847690986e-05,0.685714285714286
"15","ap","A","B",0.332525212785166,9.24014041807676e-06,-0.000121734864253944,0.882420114075504
"16","aq","A","B",0.0458780789361104,0.00547126087797112,-0.00450299112710503,1
"17","ar","A","B",0.271672060738697,0.01157463263787,-0.00363281661250023,0.885714285714286
"18","as","A","B",2.41700578819433,0.013468307472777,0.0111399154214467,0.685714285714286
"19","at","A","B",-2.34550814840502,-0.000750225082157409,-0.00856799404262857,0.342857142857143
"20","au","A","B",-0.314595363488266,-0.000173841009626802,-0.000128791539188871,0.485714285714286
"21","av","A","B",0.529995013892504,0.000576176414634153,0.0141097398051591,0.485714285714286
"22","aw","A","B",0.300238773904562,0.00062803038852056,0.000710511064492104,0.885714285714286
"23","ax","A","B",-4.62738122887558,-0.000417362478587247,-0.00213216961731083,0.885714285714286
"24","ay","A","B",-0.636288725453758,-0.000556310421959003,-0.000259114050546511,0.885714285714286
"25","az","A","B",0.35913779788889,0.000434189114063606,0.000382982130756515,0.885714285714286
"26","ba","A","B",1.10667263870978,0.000257061973329909,0.000229450485383869,1
"27","bb","A","B",0.0756119184776019,6.35682973051683e-06,1.87346528426483e-05,0.685714285714286
"28","bc","A","B",-3.1398990350073,-2.4291952732718e-05,-6.62546957533448e-05,0.644552170515899
"29","bd","A","B",-1.20329396986128,-7.01325534075494e-05,-2.85319139051983e-05,0.885714285714286
"30","be","A","B",0.110949309000056,0.023532593785746,-0.00650356605910207,0.685714285714286
"31","bf","A","B",3.58523827847384,0.000254702669147797,0.000370891790224818,0.342857142857143
