OTU,family,genus,species
F.Otu0368,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0415,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0138,Burkholderiaceae,Noviherbaspirillum,Noviherbaspirillum
F.Otu0356,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0117,Chlamydomonadales_incertae_sedis,Tetracystis,Tetracystis_excentrica
F.Otu0377,Catillariaceae,Austrolecia,Austrolecia
F.Otu0288,Parmeliaceae,Pseudephebe,Pseudephebe
A.Otu0100,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
B.Otu0212,Burkholderiaceae,uncultured,uncultured
F.Otu0322,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0367,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0422,Coniochaetaceae,Coniochaeta,Coniochaeta
F.Otu0455,Agaricomycetes_unclassified,Agaricomycetes,Agaricomycetes_unclassified
A.Otu0126,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
A.Otu0122,Monomastigaceae,Monomastix,Monomastix_sp
A.Otu0127,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
F.Otu0452,Aureobasidiaceae,Kabatiella,Kabatiella
B.Otu0157,Burkholderiaceae,Rhizobacter,Rhizobacter
B.Otu0234,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0223,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0420,Dothideomycetes_unclassified,Dothideomycetes,Dothideomycetes_unclassified
F.Otu0091,Sporormiaceae,unclassified,unclassified_Sporormiaceae
F.Otu0301,Pleosporaceae,Alternaria,Alternaria
F.Otu0058,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0210,Hymenobacteraceae,Hymenobacter,Hymenobacter
A.Otu0136,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu0490,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0049,Acetobacteraceae,Endobacter,Endobacter
B.Otu0144,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0414,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0476,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0496,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0173,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
B.Otu0226,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0480,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0497,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0323,Myriangiales_fam_Incertae_sedis,Phaeosclera,Phaeosclera
B.Otu0281,Sphingobacteriaceae,Solitalea,Solitalea
A.Otu0142,Chlamydomonadaceae,Chloromonas,Chloromonas_krienitzii
F.Otu0059,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0188,Trichomeriaceae,Knufia,Knufia
B.Otu0229,Burkholderiaceae,Rhizobacter,Rhizobacter
F.Otu0470,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0518,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0276,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
F.Otu0520,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0527,Herpotrichiellaceae,Cladophialophora,Cladophialophora
F.Otu0412,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0530,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0284,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0315,Lycoperdaceae,Lycoperdon,Lycoperdon
A.Otu0086,Trebouxiaceae,Asterochloris,Asterochloris_sp
B.Otu0165,Beijerinckiaceae,Methylobacterium,Methylobacterium
F.Otu0540,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0207,Melanommataceae,Herpotrichia,Herpotrichia
F.Otu0273,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0096,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter
F.Otu0499,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0534,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0311,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0550,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0525,Dothioraceae,Hormonema,Hormonema
F.Otu0129,Sporormiaceae,unclassified,unclassified_Sporormiaceae
F.Otu0517,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0319,Burkholderiaceae,Glaciimonas,Glaciimonas
A.Otu0059,Chlamydomonadaceae,Chloromonas,Chloromonas_sp
B.Otu0158,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
F.Otu0544,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0564,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0067,Pleosporales_fam_Incertae_sedis,Phaeomycocentrospora,Phaeomycocentrospora
F.Otu0578,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0088,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia
F.Otu0252,Teratosphaeriaceae,Lapidomyces,Lapidomyces
B.Otu0225,uncultured,uncultured_ge,uncultured_ge
B.Otu0257,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter
F.Otu0585,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0594,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0171,Microbacteriaceae,Parafrigoribacterium,Parafrigoribacterium
B.Otu0313,Microbacteriaceae,Parafrigoribacterium,Parafrigoribacterium
F.Otu0581,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0335,uncultured,uncultured_ge,uncultured_ge
F.Otu0597,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0105,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0592,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0603,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0602,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0554,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0338,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0607,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0608,Sporidiobolaceae,Rhodotorula,Rhodotorula
B.Otu0046,Acetobacteraceae,uncultured,uncultured
F.Otu0077,Aureobasidiaceae,Aureobasidium,Aureobasidium
F.Otu0417,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0616,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0255,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0323,Burkholderiaceae,Polaromonas,Polaromonas
F.Otu0612,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0619,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0621,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0109,Acidobacteriaceae_,Acidobacteriaceae__ge,Acidobacteriaceae__ge
F.Otu0240,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0624,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0622,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0203,Acidobacteriaceae_,Granulicella,Granulicella
B.Otu0068,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0085,Armatimonadales_fa,Armatimonadales_ge,Armatimonadales_ge
B.Otu0329,Burkholderiaceae,Polaromonas,Polaromonas
B.Otu0331,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified
F.Otu0605,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0373,Chitinophagaceae,Ferruginibacter,Ferruginibacter
A.Otu0171,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
A.Otu0103,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
B.Otu0309,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0318,Phaeosphaeriaceae,Phaeosphaeriaceae,Phaeosphaeriaceae_unclassified
B.Otu0247,Halomonadaceae,Halomonas,Halomonas
F.Otu0577,unclassified_Cystofilobasidiales,unclassified,unclassified_Cystofilobasidiales
A.Otu0177,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
B.Otu0120,Beijerinckiaceae,1174-901-12,1174-901-12
F.Otu0588,Helotiales_fam_Incertae_sedis,Hyalodendriella,Hyalodendriella
F.Otu0502,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0685,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0088,Herpotrichiellaceae,unclassified,unclassified_Herpotrichiellaceae
B.Otu0237,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0699,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0154,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0701,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0397,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0713,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0044,Burkholderiaceae,Massilia,Massilia
F.Otu0168,Herpotrichiellaceae,Cladophialophora,Cladophialophora
F.Otu0171,Pleosporales_unclassified,Pleosporales,Pleosporales_unclassified
B.Otu0208,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0379,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
F.Otu0640,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0708,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0731,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
B.Otu0045,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0192,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0398,Chitinophagaceae,Ferruginibacter,Ferruginibacter
A.Otu0191,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_callunae
F.Otu0737,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0735,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0561,Pseudeurotiaceae,Pseudeurotium,Pseudeurotium
F.Otu0743,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0428,Burkholderiaceae,uncultured,uncultured
F.Otu0755,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0163,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0596,Periconiaceae,Periconia,Periconia
F.Otu0690,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0411,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0727,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0764,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0149,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0724,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0768,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0449,Burkholderiaceae,Piscinibacter,Piscinibacter
F.Otu0780,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0788,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0784,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0787,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0117,Lophiostomataceae,Lophiostoma,Lophiostoma
B.Otu0146,Mycobacteriaceae,Mycobacterium,Mycobacterium
B.Otu0434,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0754,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0169,Mytilinidiaceae,Lophium,Lophium
A.Otu0121,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
F.Otu0580,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0711,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0800,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0476,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter
F.Otu0103,Lecanoromycetes_unclassified,Lecanoromycetes,Lecanoromycetes_unclassified
F.Otu0175,unclassified_Pleosporales,unclassified,unclassified_Pleosporales
F.Otu0576,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0366,Bacillaceae,Caldalkalibacillus,Caldalkalibacillus
F.Otu0758,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0783,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0820,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
F.Otu0061,Dothideaceae,Dothidea,Dothidea
F.Otu0224,Hyponectriaceae,Physalospora,Physalospora
F.Otu0316,unclassified_Capnodiales,unclassified,unclassified_Capnodiales
F.Otu0834,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0835,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0274,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0457,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0364,Solirubrobacteraceae,Conexibacter,Conexibacter
F.Otu0804,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0214,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu0842,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0837,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0403,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu0410,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0266,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0460,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0790,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0812,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0487,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0506,Chitinophagaceae,Ferruginibacter,Ferruginibacter
B.Otu0378,Corynebacteriaceae,Corynebacterium_1,Corynebacterium_1
F.Otu0703,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0793,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0494,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0850,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0110,Acetobacteraceae,Acidiphilium,Acidiphilium
A.Otu0089,Chlamydomonadaceae,Chloromonas,Chloromonas_nivalis_subsp_tatrae
F.Otu0340,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0478,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0816,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0873,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0877,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0164,Sporormiaceae,unclassified,unclassified_Sporormiaceae
F.Otu0446,Sporidiobolaceae,Rhodotorula,Rhodotorula
B.Otu0314,Microbacteriaceae,Amnibacterium,Amnibacterium
F.Otu0871,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0878,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0902,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0883,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0885,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
F.Otu0880,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0888,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0900,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0131,Leptosphaeriaceae,Leptosphaeriaceae,Leptosphaeriaceae_unclassified
B.Otu0307,Nakamurellaceae,Nakamurella,Nakamurella
B.Otu0372,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0415,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0444,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
B.Otu0563,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0910,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0266,Pleosporaceae,Alternaria,Alternaria
F.Otu0342,Venturiaceae,Venturia,Venturia
F.Otu0364,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0231,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
F.Otu0539,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0315,Acidobacteriaceae_,Bryocella,Bryocella
B.Otu0507,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
F.Otu0903,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0573,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0923,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0054,Cladosporiaceae,Rachicladosporium,Rachicladosporium
F.Otu0264,Didymosphaeriaceae,Paraconiothyrium,Paraconiothyrium
B.Otu0164,Sphingobacteriaceae,Sphingobacteriaceae_unclassified,Sphingobacteriaceae_unclassified
B.Otu0179,Micrococcaceae,Arthrobacter,Arthrobacter
B.Otu0383,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0884,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0924,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0950,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0937,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0049,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
F.Otu0256,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0091,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
B.Otu0211,Intrasporangiaceae,Intrasporangiaceae_unclassified,Intrasporangiaceae_unclassified
F.Otu0453,Trichomeriaceae,Knufia,Knufia
B.Otu0306,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0442,Burkholderiaceae,Polaromonas,Polaromonas
F.Otu0739,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0944,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0971,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0958,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0962,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0965,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0841,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0534,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
F.Otu0978,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0996,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0997,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
F.Otu0277,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0156,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0180,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0264,Chitinophagaceae,Chitinophagaceae_unclassified,Chitinophagaceae_unclassified
F.Otu0660,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0977,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0625,Chitinophagaceae,Ferruginibacter,Ferruginibacter
A.Otu0250,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu1012,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0114,Dothideomycetes_unclassified,Dothideomycetes,Dothideomycetes_unclassified
F.Otu0187,Tilletiaceae,Tilletia,Tilletia
F.Otu0200,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
F.Otu0376,Phaeosphaeriaceae,unclassified,unclassified_Phaeosphaeriaceae
B.Otu0296,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
F.Otu0609,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0454,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0553,uncultured,uncultured_ge,uncultured_ge
F.Otu0968,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu1009,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0637,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1032,Leucosporidiaceae,Leucosporidium,Leucosporidium
F.Otu1029,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1033,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1036,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0097,Ustilaginaceae,Ustilago,Ustilago
F.Otu0176,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0391,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
B.Otu0470,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0479,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1014,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1017,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1031,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
A.Otu0258,Chloropicaceae,Chloropicon,Chloropicon_roscoffensis
F.Otu1065,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu1054,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0656,Nakamurellaceae,Nakamurella,Nakamurella
F.Otu1073,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1078,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0109,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
B.Otu0284,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
B.Otu0287,uncultured,uncultured_ge,uncultured_ge
B.Otu0325,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
F.Otu0909,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
B.Otu0619,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1001,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1079,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1080,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0264,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
F.Otu1085,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1084,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0010,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0177,Acetobacteraceae,Acidiphilium,Acidiphilium
B.Otu0289,Frankiaceae,Jatrophihabitans,Jatrophihabitans
B.Otu0540,Burkholderiaceae,Polaromonas,Polaromonas
F.Otu1005,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0669,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1082,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0268,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu1120,Leucosporidiaceae,Leucosporidium,Leucosporidium
F.Otu1125,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1148,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1153,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1115,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1129,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1133,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1116,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu1119,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1145,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1150,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0060,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0404,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
B.Otu0474,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
B.Otu0545,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
