OTU,family,genus,species
F.Otu0775,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0846,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0532,Chitinophagaceae,Chitinophagaceae_unclassified,Chitinophagaceae_unclassified
B.Otu0598,Microbacteriaceae,Marisediminicola,Marisediminicola
A.Otu0248,Chlamydomonadaceae,Chloromonas,Chloromonas_sp
B.Otu0611,Microbacteriaceae,Marisediminicola,Marisediminicola
A.Otu0249,Chlamydomonadaceae,Chlainomonas,Chlainomonas_sp
F.Otu1003,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1062,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1100,Dothideaceae,Endoconidioma,Endoconidioma
F.Otu1146,Pleosporaceae,Pleosporaceae,Pleosporaceae_unclassified
A.Otu0274,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
A.Otu0289,Chlamydomonadales_incertae_sedis,Tetracystis,Tetracystis_intermedia
