"","taxon_id","treatment_1","treatment_2","log2_median_ratio","median_diff","mean_diff","wilcox_p_value"
"1","ab","A","B",0.0713977649740334,0.0154376311521828,0.0602033213534356,0.699134199134199
"2","ac","A","B",0.11088100860645,0.0222492238147362,-0.0299301186765862,0.818181818181818
"3","ad","A","B",-0.127598790441881,-0.0345673101284638,-0.0302732026768494,0.17965367965368
"4","ae","A","B",0.542676140985908,0.0401743492234652,0.0211428761958473,0.699134199134199
"5","af","A","B",-0.286702394965631,-0.0277701964767341,0.0286694235883259,0.937229437229437
"6","ag","A","B",0.151602964391154,0.00144734031830937,0.0110448181662961,0.699134199134199
"7","ah","A","B",1.47613599414102,0.00902189884549565,-0.000653796597033664,0.588744588744589
"8","ai","A","B",0.11088100860645,0.0222492238147362,-0.0299301186765862,0.818181818181818
"9","aj","A","B",-0.396224716436364,-0.0642488891964003,-0.0451874995557421,0.30952380952381
"10","ak","A","B",-0.0431430040257902,-0.00389556597006119,0.0118562905320104,1
"11","al","A","B",0.270110301679989,0.00392344094910385,0.00263167679212791,0.699134199134199
"12","am","A","B",-0.0699503181026058,-5.61896934923633e-05,0.00023620557017552,0.699134199134199
"13","an","A","B",-2.07566141157074,-6.72548928928451e-05,0.000184636884774801,0.393939393939394
"14","ao","A","B",-Inf,-1.6730577472612e-06,5.48709980404579e-06,0.788821236902539
"15","ap","A","B",0.542676140985908,0.0401743492234652,0.0211428761958473,0.699134199134199
"16","aq","A","B",-0.216139641658115,-0.0197775984986152,0.0249979351399794,1
"17","ar","A","B",-0.758683302860974,-0.00213417387324857,-0.00144884660666771,0.588744588744589
"18","as","A","B",1.72716072432475,0.00548901838848887,0.00362652764976884,0.132034632034632
"19","at","A","B",0.294319667646487,0.00121007099569202,0.00694266578510275,0.937229437229437
"20","au","A","B",1.47613599414102,0.00902189884549565,-0.000653796597033664,0.588744588744589
"21","av","A","B",-1.7851002993794,-0.000175405897543441,3.2854140935591e-05,0.937229437229437
"22","aw","A","B",-0.09035490647083,-6.36910792576634e-05,-0.000427653216093445,1
"23","ax","A","B",0.73296189381696,0.000181796476142381,0.00567953847402056,0.484848484848485
"24","ay","A","B",0.779249284495296,3.46783543297448e-05,5.32982729125908e-05,0.17965367965368
"25","az","A","B",0.357668761870013,4.62745747641473e-05,8.00189709845352e-05,0.393939393939394
"26","ba","A","B",0,0,3.65007804137388e-06,0.775029260163904
"27","bb","A","B",-Inf,-1.71313840102514e-06,0.0001329423451012,0.655306389505138
"28","bc","A","B",Inf,1.13676144811041e-05,4.75882735460599e-05,0.347163505300326
"29","bd","A","B",-1.08880690771766,-1.81421689315795e-06,-6.27755300972405e-06,0.454957853512115
"30","be","A","B",0.147909514384032,0.0275686749506898,-0.0234489272059225,0.937229437229437
"31","bf","A","B",0.639918600191171,0.000776750342288338,-0.0064811914706637,0.937229437229437
"32","bg","A","B",-0.396224716436364,-0.0642488891964003,-0.0451874995557421,0.30952380952381
"33","bh","A","B",-0.0215290148283539,-0.00160045524477928,0.0140160722847951,1
"34","bi","A","B",-0.0502534011644464,-0.000757655818398997,-0.0021176952712417,0.937229437229437
"35","bj","A","B",0.270110301679989,0.00392344094910385,0.00263167679212791,0.699134199134199
"36","bk","A","B",-0.0699503181026058,-5.61896934923633e-05,0.000222305131082505,0.699134199134199
"37","bl","A","B",0,0,1.39004390930146e-05,1
"38","bm","A","B",0.158171441517042,6.30677388684038e-06,-4.20864815430273e-05,0.572475573921105
"39","bn","A","B",-2.07566141157074,-6.72548928928451e-05,0.000184636884774801,0.393939393939394
"40","bo","A","B",-Inf,-1.6730577472612e-06,5.48709980404579e-06,0.788821236902539
"41","bp","A","B",0.542676140985908,0.0401743492234652,0.0211428761958473,0.699134199134199
"42","bq","A","B",0.659387485287835,0.0131065856622967,0.00923039801405604,0.588744588744589
"43","br","A","B",-0.0330926627067594,-0.00141921313191416,0.0171013937120477,0.937229437229437
"44","bs","A","B",-0.797922186624381,-0.00681798444905947,-0.00157847343107466,0.937229437229437
"45","bt","A","B",-0.785369111204472,-0.000484856431854912,-0.000681909135590338,0.818181818181818
"46","bu","A","B",1.72924718743989,0.00549037166801078,0.0036253801546126,0.132034632034632
"47","bv","A","B",0.294319667646487,0.00121007099569202,0.00694266578510275,0.937229437229437
"48","bw","A","B",1.47613599414102,0.00902189884549565,-0.000653796597033664,0.588744588744589
"49","bx","A","B",-0.184082765663548,-0.000288545721495944,-0.00084552494405586,1
"50","by","A","B",Inf,9.74054175078486e-06,0.000242086976717329,0.19985601433606
"51","bz","A","B",-0.09035490647083,-6.36910792576634e-05,-0.000427653216093445,1
"52","ca","A","B",0.73296189381696,0.000181796476142381,0.00567953847402056,0.484848484848485
"53","cb","A","B",0.489417509286694,0.000297286834581893,0.000154461184874072,0.588744588744589
"54","cc","A","B",-0.26246153666222,-9.51486334536443e-05,-0.000146220181069164,0.588744588744589
"55","cd","A","B",0.779249284495296,3.46783543297448e-05,5.32982729125908e-05,0.17965367965368
"56","ce","A","B",0.357668761870013,4.62745747641473e-05,8.00189709845352e-05,0.393939393939394
"57","cf","A","B",-1.78853977837868,-0.000167691501559627,-0.000208822525059346,0.30952380952381
"58","cg","A","B",0,0,0,NA
"59","ch","A","B",0,0,3.65007804137388e-06,0.775029260163904
"60","ci","A","B",0,0,-4.10310722392476e-07,0.752553750197242
"61","cj","A","B",0,0,0,NA
"62","ck","A","B",Inf,4.82940917008213e-06,-8.48112500060376e-06,0.655306389505138
"63","cl","A","B",-Inf,-1.71088154882685e-06,1.14749515623713e-06,1
"64","cm","A","B",-Inf,-1.71313840102514e-06,0.0001329423451012,0.655306389505138
"65","cn","A","B",0.10573420224046,4.54696232905085e-06,9.01556600762987e-05,0.588744588744589
"66","co","A","B",-0.209349246073615,-2.2598445299885e-07,9.81750106129067e-07,0.86428018137428
"67","cp","A","B",0,0,0.000232307028942123,0.752553750197242
"68","cq","A","B",Inf,1.13676144811041e-05,4.75882735460599e-05,0.347163505300326
"69","cr","A","B",-1.08880690771766,-1.81421689315795e-06,-6.27755300972405e-06,0.454957853512115
"70","cs","A","B",0.147967739492055,0.0275782431895278,-0.0231226105450633,0.937229437229437
"71","ct","A","B",0.638752798481052,0.000740983095343823,-0.00650442952660415,0.937229437229437
"72","cu","A","B",0,0,0,NA
"73","cv","A","B",0.434729889602962,1.72592930645051e-05,2.85095193885701e-05,0.588744588744589
"74","cw","A","B",-1.36817413103977,-1.04950078059021e-05,-0.000326316660859205,0.808865613239999
"75","cx","A","B",-Inf,-1.71088154882685e-06,-5.27146344811571e-06,0.0740099699862347
"76","cy","A","B",-0.264582932672978,-0.018196632503743,-0.0213396960674414,0.484848484848485
"77","cz","A","B",-0.595065736843685,-0.0315807172055787,-0.0269407198093327,0.30952380952381
"78","da","A","B",0.0381380794291129,0.00124833546739899,0.00292563056450637,0.818181818181818
"79","db","A","B",0.0410753102114779,0.00242366948274629,0.0122967221661887,0.937229437229437
"80","dc","A","B",-0.320032524591391,-0.00428864097563609,-0.00314085675360837,0.393939393939394
"81","dd","A","B",-0.341637032246201,-0.00233903183882311,-4.23604339411954e-05,0.699134199134199
"82","de","A","B",1.40526629885345,0.00991111738552218,0.00675732177140726,0.699134199134199
"83","df","A","B",0.508454852903747,0.00375442538823738,0.00263820868466045,0.588744588744589
"84","dg","A","B",-0.0699503181026058,-5.61896934923633e-05,0.000222305131082505,0.699134199134199
"85","dh","A","B",-1.22008989068101,-0.00069534249141599,-0.00543532332099527,0.937229437229437
"86","di","A","B",0.627086844346725,0.00129548519079317,0.000786175578861142,0.484848484848485
"87","dj","A","B",0.160436597531637,2.55720326492715e-05,9.71359530251985e-05,0.937229437229437
"88","dk","A","B",0.172387093719163,4.19512752395797e-05,0.000300215715169237,1
"89","dl","A","B",-Inf,-2.21948978368853e-06,1.461963320639e-05,0.788821236902539
"90","dm","A","B",0,0,1.39004390930146e-05,1
"91","dn","A","B",1.87392077884351,2.03755961744212e-05,5.56364888265555e-05,0.422527407168231
"92","do","A","B",1.47223964986373,1.5437008754723e-05,0.000181349414678969,0.484848484848485
"93","dp","A","B",0.158171441517042,6.30677388684038e-06,-4.20864815430273e-05,0.572475573921105
"94","dq","A","B",-2.07566141157074,-6.72548928928451e-05,0.000184636884774801,0.393939393939394
"95","dr","A","B",-Inf,-1.6730577472612e-06,5.48709980404579e-06,0.788821236902539
"96","ds","A","B",0,0,0.000152666123319256,0.175734335644225
"97","dt","A","B",0,0,3.58285414086518e-05,0.461950454587791
"98","du","A","B",0.542676140985908,0.0401743492234652,0.0211428761958473,0.699134199134199
"99","dv","A","B",0.659387485287835,0.0131065856622967,0.00923039801405604,0.588744588744589
"100","dw","A","B",0.371453641616604,0.00898289222812445,0.0115061102601226,0.699134199134199
"101","dx","A","B",0.0900735201287803,0.000565386386918039,-0.000321753666997528,0.818181818181818
"102","dy","A","B",-0.797922186624381,-0.00681798444905947,-0.00157847343107466,0.937229437229437
"103","dz","A","B",-0.803918584335944,-0.000360963811543795,-0.000656569888225812,0.937229437229437
"104","ea","A","B",0.994910207605527,0.00407934269628564,0.00591703711892255,0.393939393939394
"105","eb","A","B",1.72924718743989,0.00549037166801078,0.0036253801546126,0.132034632034632
"106","ec","A","B",0.0300723773953455,0.000112520926652799,0.00661713748353844,0.937229437229437
"107","ed","A","B",1.47613599414102,0.00902189884549565,-0.000653796597033664,0.588744588744589
"108","ee","A","B",-0.130362579207848,-0.000181410080519921,-0.0014149288407868,0.818181818181818
"109","ef","A","B",Inf,9.74054175078486e-06,0.000242086976717329,0.19985601433606
"110","eg","A","B",0.333340994368496,2.56697234043334e-05,6.98216639506561e-05,0.818181818181818
"111","eh","A","B",0.840524233948159,6.25010166067881e-05,0.000500201148117442,0.484848484848485
"112","ei","A","B",-0.732179781078206,-1.81445597927302e-05,-6.06406073703631e-06,0.699134199134199
"113","ej","A","B",-0.567628778604261,-0.000249650431131543,-0.000612816381366386,0.588744588744589
"114","ek","A","B",2.74230840391801,0.000194318822753062,0.000325528301564311,0.686838218866274
"115","el","A","B",0,0,0.00451692571619223,0.924102310456697
"116","em","A","B",0.489417509286694,0.000297286834581893,0.000154461184874072,0.588744588744589
"117","en","A","B",-0.253672661123834,-2.91028553840098e-05,-5.57183356764644e-05,0.818181818181818
"118","eo","A","B",0,0,1.44707329426235e-06,0.404656761927286
"119","ep","A","B",-0.309392327508909,-1.69309965123796e-05,-2.07438987891959e-05,1
"120","eq","A","B",0.779249284495296,3.46783543297448e-05,5.32982729125908e-05,0.17965367965368
"121","er","A","B",0,0,-1.72497168076002e-05,0.775029260163904
"122","es","A","B",-1.34554923875515,-3.48398937419438e-05,-1.53386588539115e-05,0.24025974025974
"123","et","A","B",0.357668761870013,4.62745747641473e-05,8.00189709845352e-05,0.393939393939394
"124","eu","A","B",0,0,-0.000117542392684499,0.404656761927286
"125","ev","A","B",0,0,0,NA
"126","ew","A","B",0.854745575107017,9.41221215865297e-05,0.000109639842906761,0.588744588744589
"127","ex","A","B",0,0,0,NA
"128","ey","A","B",-0.891395562303246,-5.48772456178535e-05,-2.42502780881411e-05,0.818181818181818
"129","ez","A","B",Inf,1.60980305669404e-06,-2.37101593838238e-06,0.788821236902539
"130","fa","A","B",-0.786803145475755,-4.95458726256874e-05,-9.12801323748464e-05,0.818181818181818
"131","fb","A","B",0,0,3.65007804137388e-06,0.775029260163904
"132","fc","A","B",0,0,-4.10310722392476e-07,0.752553750197242
"133","fd","A","B",0.637782397928493,1.33065860754314e-05,2.18846724332389e-06,0.686838218866274
"134","fe","A","B",1.53875637721147,3.18791019440284e-06,0.000704836400898518,0.561148653797487
"135","ff","A","B",0.734654764828259,0.000180930265880594,0.000457776356929816,0.484848484848485
"136","fg","A","B",0,0,0,NA
"137","fh","A","B",Inf,4.82940917008213e-06,-8.48112500060376e-06,0.655306389505138
"138","fi","A","B",0,0,1.33955092306537e-06,1
"139","fj","A","B",-Inf,-3.4217630976537e-06,-8.57472071745876e-06,0.32605752154511
"140","fk","A","B",-1.72000161684333,-5.19011849323562e-05,-5.06035338083239e-05,0.132034632034632
"141","fl","A","B",-Inf,-1.71088154882685e-06,1.14749515623713e-06,1
"142","fm","A","B",1.68863145704118,7.60831680455225e-06,-6.61362580571367e-06,0.624834867127387
"143","fn","A","B",Inf,9.65234318591422e-06,6.87389958640239e-06,0.441788161749779
"144","fo","A","B",-Inf,-1.71313840102514e-06,0.0001329423451012,0.655306389505138
"145","fp","A","B",0.205588053813698,2.79805844765832e-05,4.83718786461252e-05,0.699134199134199
"146","fq","A","B",0.10573420224046,4.54696232905085e-06,9.01556600762987e-05,0.588744588744589
"147","fr","A","B",-0.209349246073615,-2.2598445299885e-07,9.81750106129067e-07,0.86428018137428
"148","fs","A","B",0,0,-2.2522236924001e-06,0.599265961982854
"149","ft","A","B",0,0,0.000232307028942123,0.752553750197242
"150","fu","A","B",Inf,1.13676144811041e-05,4.75882735460599e-05,0.347163505300326
"151","fv","A","B",0.999267658703135,1.97430563249534e-05,1.54380626310007e-05,0.521109982958906
"152","fw","A","B",-1.08880690771766,-1.81421689315795e-06,-6.27755300972405e-06,0.454957853512115
"153","fx","A","B",Inf,1.10159736098512e-05,2.95224596584375e-05,0.347163505300326
"154","fy","A","B",0,0,-6.18915337157795e-07,0.775029260163904
"155","fz","A","B",0,0,0,NA
"156","ga","A","B",-Inf,-2.36462520690471e-06,8.56257086450114e-06,0.928858960600444
"157","gb","A","B",0.153288740500022,0.0284984785379827,-0.0236595314505419,0.937229437229437
"158","gc","A","B",0.638752798481052,0.000740983095343823,-0.00650442952660415,0.937229437229437
"159","gd","A","B",-0.290564050732795,-4.72230609860285e-05,0.000511649849275582,0.935043046278691
"160","ge","A","B",0,0,0,NA
"161","gf","A","B",0.434729889602962,1.72592930645051e-05,2.85095193885701e-05,0.588744588744589
"162","gg","A","B",-1.36817413103977,-1.04950078059021e-05,-0.000326316660859205,0.808865613239999
"163","gh","A","B",-Inf,-1.71088154882685e-06,-5.27146344811571e-06,0.0740099699862347
"164","gi","A","B",0.574199405751951,4.10304874856382e-05,2.64391631345551e-05,0.686838218866274
"165","gj","A","B",0,0,-1.16810693154733e-06,0.752553750197242
"166","gk","A","B",-0.264582932672978,-0.018196632503743,-0.0213396960674414,0.484848484848485
"167","gl","A","B",-0.67882323333001,-0.0343162371856211,-0.0259524346176453,0.24025974025974
"168","gm","A","B",0.0381380794291129,0.00124833546739899,0.00292563056450637,0.818181818181818
"169","gn","A","B",0.0159814873381462,0.000926010477913658,0.0116473589496092,0.937229437229437
"170","go","A","B",-0.320032524591391,-0.00428864097563609,-0.00314085675360837,0.393939393939394
"171","gp","A","B",-0.146687625095437,-0.00078494132877558,-0.000142054402743277,0.818181818181818
"172","gq","A","B",1.40526629885345,0.00991111738552218,0.00675732177140726,0.699134199134199
"173","gr","A","B",0.792813174309548,0.0028534415424545,0.0018260983396471,0.30952380952381
"174","gs","A","B",-0.0699503181026058,-5.61896934923633e-05,0.000222305131082505,0.699134199134199
"175","gt","A","B",-0.0366935091680429,-2.75617234656634e-05,9.96939688020807e-05,0.818181818181818
"176","gu","A","B",-1.22008989068101,-0.00069534249141599,-0.00543532332099527,0.937229437229437
"177","gv","A","B",0.986836618665221,0.00202825469642002,0.000812110345013354,0.937229437229437
"178","gw","A","B",0.627086844346725,0.00129548519079317,0.000786175578861142,0.484848484848485
"179","gx","A","B",0.729740354319039,0.000814894383491652,-0.000988285191687388,0.818181818181818
"180","gy","A","B",0.160436597531637,2.55720326492715e-05,9.71359530251985e-05,0.937229437229437
"181","gz","A","B",0.172387093719163,4.19512752395797e-05,0.000300215715169237,1
"182","ha","A","B",-Inf,-2.21948978368853e-06,1.461963320639e-05,0.788821236902539
"183","hb","A","B",1.03814943024143,0.000156555125161499,0.000649363216579519,0.699134199134199
"184","hc","A","B",0,0,1.39004390930146e-05,1
"185","hd","A","B",1.87392077884351,2.03755961744212e-05,5.56364888265555e-05,0.422527407168231
"186","he","A","B",1.47223964986373,1.5437008754723e-05,0.000181349414678969,0.484848484848485
"187","hf","A","B",0.158171441517042,6.30677388684038e-06,-4.20864815430273e-05,0.572475573921105
"188","hg","A","B",-2.07566141157074,-6.72548928928451e-05,0.000184636884774801,0.393939393939394
"189","hh","A","B",-Inf,-1.6730577472612e-06,5.48709980404579e-06,0.788821236902539
"190","hi","A","B",0,0,0.000152666123319256,0.175734335644225
"191","hj","A","B",0,0,3.58285414086518e-05,0.461950454587791
"192","hk","A","B",0.542676140985908,0.0401743492234652,0.0211428761958473,0.699134199134199
"193","hl","A","B",0.659387485287835,0.0131065856622967,0.00923039801405604,0.588744588744589
"194","hm","A","B",0.561139712024197,0.012340947328561,0.0129612654500597,0.699134199134199
"195","hn","A","B",0.0900735201287803,0.000565386386918039,-0.000321753666997528,0.818181818181818
"196","ho","A","B",-0.797922186624381,-0.00681798444905947,-0.00157847343107466,0.937229437229437
"197","hp","A","B",-0.803918584335944,-0.000360963811543795,-0.000656569888225812,0.937229437229437
"198","hq","A","B",0.994910207605527,0.00407934269628564,0.00591703711892255,0.393939393939394
"199","hr","A","B",1.72924718743989,0.00549037166801078,0.0036253801546126,0.132034632034632
"200","hs","A","B",0.0300723773953455,0.000112520926652799,0.00661713748353844,0.937229437229437
"201","ht","A","B",1.47613599414102,0.00902189884549565,-0.000653796597033664,0.588744588744589
"202","hu","A","B",-0.277978905304709,-0.00033570311182227,-0.00164637378534066,0.588744588744589
"203","hv","A","B",-0.911175013882221,-0.00131328428632161,-0.00145515518993707,0.393939393939394
"204","hw","A","B",Inf,9.74054175078486e-06,0.000242086976717329,0.19985601433606
"205","hx","A","B",0.333340994368496,2.56697234043334e-05,6.98216639506561e-05,0.818181818181818
"206","hy","A","B",1.19844832561402,5.62684598401448e-05,4.58220960351665e-05,0.30952380952381
"207","hz","A","B",-0.732179781078206,-1.81445597927302e-05,-6.06406073703631e-06,0.699134199134199
"208","ia","A","B",-0.567628778604261,-0.000249650431131543,-0.000612816381366386,0.588744588744589
"209","ib","A","B",2.74230840391801,0.000194318822753062,0.000325528301564311,0.686838218866274
"210","ic","A","B",0.763959695363961,0.000128583543513359,0.000192767025333642,0.484848484848485
"211","id","A","B",0,0,0.00451692571619223,0.924102310456697
"212","ie","A","B",0.489417509286694,0.000297286834581893,0.000154461184874072,0.588744588744589
"213","if","A","B",-0.253672661123834,-2.91028553840098e-05,-5.57183356764644e-05,0.818181818181818
"214","ig","A","B",0.443992880312486,7.41966820188199e-06,0.00046220347075035,0.686838218866274
"215","ih","A","B",0,0,1.44707329426235e-06,0.404656761927286
"216","ii","A","B",-Inf,-2.2296182750823e-05,-1.94681362783125e-05,0.441788161749779
"217","ij","A","B",0.779249284495296,3.46783543297448e-05,5.32982729125908e-05,0.17965367965368
